variable,meaning
cbf_first_food_breastmilk,What did you do when introducing complementary feeding to your baby? - Also continue breastfeeding until s/he is two years or beyond
cbf_first_food_iodized_salt,What did you do when introducing complementary feeding to your baby? - Use iodized salt whenever possible in family foods
cbf_first_food_hotchpotch,What did you do when introducing complementary feeding to your baby? - Hotchpotch (Khichuri)
cbf_first_food_other,What did you do when introducing complementary feeding to your baby? - other
cbf_later_food_veg,What varied diet did you feed your young child (six months and beyond)? - Add colorful foods like vegetables and fruits that are orange
cbf_later_food_meat,"What varied diet did you feed your young child (six months and beyond)? - Add animal-source foods such as fish, eggs, chicken, liver,"
cbf_later_food_oil,"What varied diet did you feed your young child (six months and beyond)? - Add a little butter, spoon oil, palm oil, vegetable oil"
cbf_later_food_breastmilk,What varied diet did you feed your young child (six months and beyond)? - Keep breastfeeding until s/he is 24 months or older
cbf_later_other,What varied diet did you feed your young child (six months and beyond)? - Other
cbf_6to12mon_2meals,"How was feeding frequency and quantity for children aged six up to 12 months? - Between the ages of six and 11 months, fed him/her two to three times per day"
cbf_6to12mon_2mashed_snacks,How was feeding frequency and quantity for children aged six up to 12 months? - Added one or two nutritious pureed or mashed snacks each day
cbf_6to12mon_8breastmilk,How was feeding frequency and quantity for children aged six up to 12 months? - Continue breastfeeding 8 to 10 times every day
cbf_6to12mon_iodized_salt,How was feeding frequency and quantity for children aged six up to 12 months? - Use iodized salt to prepare foods for the child
cbf_6to12mon_other,How was feeding frequency and quantity for children aged six up to 12 months? - Other
cbf_12to24mon_3meals,How was feeding frequency and quantity for children aged six up to 12 months? - Fed him/her at least three to four times a day
cbf_12to24mon_3meals_snacks,How was feeding frequency and quantity for children aged six up to 12 months? - Fed him/her family foods plus one or two snacks- also solid
cbf_12to24mon_veg,How was feeding frequency and quantity for children aged six up to 12 months? - Include a variety of orange and red vegetables and fruits
cbf_12to24mon_meat,"How was feeding frequency and quantity for children aged six up to 12 months? - Include animal-source foods (i.e., fish, eggs, chicken, liver, milk)"
cbf_12to24mon_iodized_salt,How was feeding frequency and quantity for children aged six up to 12 months? - Use iodized salt to prepare food for the whole family
cbf_12to24mon_breastmilk,How was feeding frequency and quantity for children aged six up to 12 months? - Continue breastfeeding up to 24 months and even beyond
childu2_sick_yn,Has your infant or child (<24m) ever got sick?
childu2_sick_more_breastmilk,"If yes, how did you feed sick children during and after illness? - Continue breastfed more often and longer than usual"
childu2_sick_more_food,"If yes, how did you feed sick children during and after illness? - Offered additional food to children aged six months and older"
childu2_sick_higher_food_freq,"If yes, how did you feed sick children during and after illness? - Gave food in small quantities throughout the day"
childu2_sick_other,"If yes, how did you feed sick children during and after illness? - other"
childu2_diagnosed_mam,Has s/he ever suffered from diarrhea/MAM (moderate acute malnutrition) as per doctor?
childu2_diagnosed_num,"If yes, how many time s/he got suffered from?"
childu2_mam_give_more_breastmilk,What nutritional care did you take for you MAM (moderate acute malnutrition) child? - Breastfed the child more frequently
childu2_mam_give_more_food,What nutritional care did you take for you MAM child? - Gave the child extra food
childu2_mam_give_ors,"What nutritional care did you take for you MAM child? - When s/he was very sick and dehydrated, gave ORS"
childu2_mam_zinc,What nutritional care did you take for you MAM child? - Gave Zinc for the exact time period specified by the health
childu2_diagnosed_sam,Has your child ever suffered from SAM (severe acute malnutrition) as per Doctor?
childu2_mam_ens_yn,"If suffered, did the child receive Emergency Nutrition Services?"
childu2_mam_ens_gov_hospital,"From where did the child receive those services? - Government hospital (at UZ, district, or above)"
childu2_mam_ens_community_clinic,From where did the child receive those services? - Community Clinic
childu2_mam_ens_private,From where did the child receive those services? - Private Clinic
childu2_mam_ens_maxfoundation,From where did the child receive those services? - Max Foundation CHPs (community health professionals)
childu5_diagnosed_mam,Has your young child (24 - 59 months) ever suffered from MAM (moderate acute malnutrition) according to doctor?
childu5_mam_give_more_breastmilk,"If yes, what nutritional care did you take for them? - Breastfed the child more frequently"
childu5_mam_give_more_food,"If yes, what nutritional care did you take for them? - Gave the child extra food"
childu5_mam_give_ors,"If yes, what nutritional care did you take for them? - When s/he was very sick and dehydrated, gave ORS"
childu5_mam_zinc,"If yes, what nutritional care did you take for them? - Gave Zinc for the exact time period specified by the health professional"
childu5_diagnosed_sam,Has your young child ever suffered from SAM (severe acute malnutrition) according to doctor?
childu5_mam_ens_yn,"If suffered, did the child receive Emergency Nutrition Services?"
childu5_mam_ens_gov_hospital,"From where did the child receive those services? - Government hospital (at UZ, district, or above)"
childu5_mam_ens_private,From where did the child receive those services? - Private Clinic
childu5_mam_ens_maxfoundation,From where did the child receive those services? - Max Foundation CHP (community health professionals)
childu5_sam_inpatient,Have you ever taken in-patient management of SAM children?
childu5_sam_outpatient,Have you ever taken out-patient (OPD) services for SAM child?
know_micro_benefit_health,What do you know about the benefits of micro-nutrient supplementation for lactating a mother? - Helps maintain baby's and mother's strength and health
know_micro_benefit_more_breast,What do you know about the benefits of micro-nutrient supplementation for lactating a mother? - Helps flow of breast-milk to be produced sufficiently
know_micro_benefit_supplement,What do you know about the benefits of micro-nutrient supplementation for lactating a mother? - Mothers felt no need to give supplementary foods to baby
know_micro_benefit_prevent_illness,What do you know about the benefits of micro-nutrient supplementation for lactating a mother? - Helps mothers and baby to be protected from illness
take_supp_pregnant_yn,Have you gotten micro-nutrient supplementation during your pregnancy or lactating period?
take_supp_pregnant_vit_a,"If yes, what kind of supplementation did you get? - Food rich in vitamin A"
take_supp_pregnant_vit_varied,"If yes, what kind of supplementation did you get? - A varied diet with all the vitamins needed"
take_supp_pregnant_meat,"If yes, what kind of supplementation did you get? - Animal-source food (i.e., fish, eggs, chicken, liver)"
take_supp_pregnant_fortified,"If yes, what kind of supplementation did you get? - Fortified foods when they are available"
take_supp_pregnant_iodized_salt,"If yes, what kind of supplementation did you get? - Coverage with iodized salt"
take_supp_child_continued_breast,What micronutrient supplementation are infants and young children in your households getting? - Continued breastfeeding
take_supp_child_complement_breast,What micronutrient supplementation are infants and young children in your households getting? - Complementary feeding from 6 up to 23 months
take_supp_child_vit_a,What micronutrient supplementation are infants and young children in your households getting? - Vitamin A supplementation in infants and children 6-59 month
take_supp_child_iron,What micronutrient supplementation are infants and young children in your households getting? - Daily iron supplementation for children 6-23 months of age
take_supp_child_zinc,What micronutrient supplementation are infants and young children in your households getting? - Zinc supplementation to children with diarrhea
take_supp_child_other,What micronutrient supplementation are infants and young children in your households getting? - Other
help_supp_child_hpa,How is micronutrient supplementation ensured for 6-59 months children? - Linkage through Health Promotion Agent
help_supp_child_gov,How is micronutrient supplementation ensured for 6-59 months children? - Government supplies for 6-59 months
help_supp_child_ngo,How is micronutrient supplementation ensured for 6-59 months children? - Project subsidy
help_supp_child_none,How is micronutrient supplementation ensured for 6-59 months children? - It is not
help_supp_child_other,How is micronutrient supplementation ensured for 6-59 months children? - Other
help_supp_women_hpa,How is micronutrient supplementation ensured for adolescents and women? - Linkage through HPA
help_supp_women_gov,How is micronutrient supplementation ensured for adolescents and women? - Government supplies for adolescent
help_supp_women_ngo,How is micronutrient supplementation ensured for adolescents and women? - Project subsidy
help_supp_women_none,How is micronutrient supplementation ensured for adolescents and women? - It is not
help_supp_women_other,How is micronutrient supplementation ensured for adolescents and women? - other
child_received_vit_a,Has your child ever received Vitamin A supplementation?
child_received_vit_a_before6,Has the child received their first Vitamin A supplementation when they reach 6 months of age?
child_received_vit_a_continued,Does Vitamin A supplementation continue twice a year for children aged 6-24 months?
prevent_anemia_none,"What do your family do for preventing anemia among women and children (6-24 months)? - Do little or nothing about this, can't explain"
prevent_anemia_diverse,What do your family do for preventing anemia among women and children (6-24 months)? - A varied diet with all the vitamins needed by women and children
prevent_anemia_meat,"What do your family do for preventing anemia among women and children (6-24 months)? - Animal-source food (i.e., fish, eggs, chicken, liver, and others)"
prevent_anemia_fortified,What do your family do for preventing anemia among women and children (6-24 months)? - Fortified foods as available
prevent_anemia_deworm,"What do your family do for preventing anemia among women and children (6-24 months)? - Deworming medicine twice a year, and continue up to five years"
child_received_deworm,Has the child received a deworming tablet in the last 6 months?
child_received_monimix_7days,"In last 7-days, was the child given any ready-to-use therapeutic feed like MONIMIX?"
garden_veg_yn,Does your household have a homestead vegetable garden?
garden_veg_leafy,"If yes, what type of vegetables do you produce? - Leafy vegetables"
garden_veg_other,"If yes, what type of vegetables do you produce? - Other vegetables"
garden_veg_purpose_consumption,For what purpose do you use the product from homestead vegetable garden? - Usually used for eating for household member
garden_veg_purpose_sell,For what purpose do you use the product from homestead vegetable garden? - For selling in the market
garden_fruit_yn,Does your household have fruit plants?
garden_fruit_banana,"If yes, which fruits do you usually produce? - Banana"
garden_fruit_guava,"If yes, which fruits do you usually produce? - Guava"
garden_fruit_papaya,"If yes, which fruits do you usually produce? - Papaya"
garden_fruit_lemon,"If yes, which fruits do you usually produce? - Lemon"
garden_fruit_coconut,"If yes, which fruits do you usually produce? - Coconut"
garden_fruit_mango,"If yes, which fruits do you usually produce? - Mango"
garden_fruit_jackfruit,"If yes, which fruits do you usually produce? - Jackfruit"
garden_fruit_lychi,"If yes, which fruits do you usually produce? - Lychi"
garden_fruit_amra,"If yes, which fruits do you usually produce? - Amra"
garden_fruit_jamrul,"If yes, which fruits do you usually produce? - jamrul"
garden_fruit_boroi,"If yes, which fruits do you usually produce? - Boroi"
garden_fruit_berry,"If yes, which fruits do you usually produce? - Berry"
garden_fruit_sofeda,"If yes, which fruits do you usually produce? - Sofeda"
garden_fruit_palm,"If yes, which fruits do you usually produce? - Palm"
garden_fruit_dalim,"If yes, which fruits do you usually produce? - Dalim"
garden_fruit_chalta,"If yes, which fruits do you usually produce? - Chalta"
garden_fruit_jambura,"If yes, which fruits do you usually produce? - Jambura"
garden_fruit_kamranga,"If yes, which fruits do you usually produce? - Kamranga"
garden_fruit_other,"If yes, which fruits do you usually produce? - Others"
garden_fruit_purpose_consumption,For what purpose do you use the products from fruit plant? - Usually used for eating for household member
garden_fruit_purpose_sell,For what purpose do you use the products from fruit plant? - For selling in the market
poultry_own,Does your household have its own poultry?
poultry_chicken,"If yes, what does your poultry produce? - Chicken and eggs"
poultry_duck,"If yes, what does your poultry produce? - Ducks and eggs"
poultry_pigeon,"If yes, what does your poultry produce? - Pigeon"
poultry_purpose_consumption,For what purpose do you use the product from poultry? - Usually used for eating for household member
poultry_purpose_sell,For what purpose do you use the product from poultry? - For selling in the market
food_3meals_often,How often does your household consume three meals a day?
food_access,To what extent does you household members have access to essential major foods?
food_access_fortified_baby_food,"If full or limited access, which food do you have access to? - Commercially fortified baby food like CERELAC"
food_access_grains,"If full or limited access, which food do you have access to? - Bread, rice, noodles, porridge, or other grains"
food_access_veg_orange,"If full or limited access, which food do you have access to? - Pumpkin, carrots, squash or sweet potatoes that are yellow o"
food_access_potatoe,"If full or limited access, which food do you have access to? - White potatoes, white yams, manioc, cassava or any other foo"
food_access_veg_green,"If full or limited access, which food do you have access to? - Any dark green leafy vegetables like spinach, poi sag, methi"
food_access_fruit_vit_a,"If full or limited access, which food do you have access to? - Ripe mangoes, papayas, jackfruits, bangi or other vitamin A"
food_access_fruit_veg_other,"If full or limited access, which food do you have access to? - Fruits like banana, grapes, apple, guava or other vegetables"
food_access_offval,"If full or limited access, which food do you have access to? - Liver, kidney, heart or other organ meats"
food_access_meat,"If full or limited access, which food do you have access to? - Meats like beef, lamb, mutton, chicken or duck"
food_access_eggs,"If full or limited access, which food do you have access to? - Eggs, fishes, or crabs"
food_access_pulses,"If full or limited access, which food do you have access to? - Any foods made from beans, peas, lentils or nuts"
food_access_dairy,"If full or limited access, which food do you have access to? - Cheese or other foods alike made from milk"
food_access_sweets,"If full or limited access, which food do you have access to? - Any other solid, semi-solid or soft food (Bengali sweets)"
food_access_meets_needs,To what extent does present level of access meet the nutritional requirements of your HH?
food_source_own_produce,What is the major source of nutrient foods of the household? - Own homestead vegetable plot/gardens
food_source_market,What is the major source of nutrient foods of the household? - Buying from markets
food_source_government,What is the major source of nutrient foods of the household? - Government supplies
food_source_ngo,What is the major source of nutrient foods of the household? - NGO supplies
nutri_advice_provider_health_dep,"As of your knowledge, who are major nutritional service providers in your area? - Government health department"
nutri_advice_provider_other_gov,"As of your knowledge, who are major nutritional service providers in your area? - Government - other department/agency"
nutri_advice_provider_maxfoundation,"As of your knowledge, who are major nutritional service providers in your area? - HPA - Max Foundation"
nutri_advice_provider_ngo,"As of your knowledge, who are major nutritional service providers in your area? - NGOs other than Max Foundation"
nutri_advice_provider_other,"As of your knowledge, who are major nutritional service providers in your area? - Other"
nutri_advice_access,To what extent does your household have access to nutritional services?
growth_measure_regular,Do you regularly measure child growth (weight & height)?
growth_measure_chart,"If yes, do you preserve growth chart?"
growth_think_height_good,"As per growth chart, do you think that your child has appropriate height by age?"
growth_think_weight_good,"As per growth chart, do you think that your child has appropriate weight by age?"
know_fns_stable_income,What do you know about food and nutrition security for children? - Stable economic ability of the household
know_fns_diverse,What do you know about food and nutrition security for children? - Availability of diversified foods for children
know_fns_fresh_food,What do you know about food and nutrition security for children? - Availability of fresh foods for children - no reheated food
know_fns_well_preserved,What do you know about food and nutrition security for children? - Necessary foods are well preserved
think_child_food_secure,Do you think that children of your household are food secure?
fns_prep_where_floor,Where do you prepare food for cooking? - Kitchen floor (unhygienic)
fns_prep_where_soil_top,Where do you prepare food for cooking? - Open soil top (unhygienic)
fns_prep_where_table,Where do you prepare food for cooking? - Surface of food preparation or dining table
fns_prep_where_special_pot,Where do you prepare food for cooking? - Special pots used for food preparation
fns_surface_clean_yn,Do you wash the food preparation surfaces?
fns_surface_clean_before,When do you wash the surfaces? - Before food preparation
fns_surface_clean_after,When do you wash the surfaces? - After food preparation
fns_surface_clean_with,With what do you wash the surfaces?
fns_wash_food,Do you wash your foods before cooking?
fns_store_food_covered_pan,Where and how do you store cooked food? - Within covered cooking utensils - open space
fns_store_food_covered_box,Where and how do you store cooked food? - Within covered plastic containers/boxes - open space
fns_store_food_fridge,Where and how do you store cooked food? - Fridge within plastic boxes/pots
fns_reheat_stored_food,Do you reheat stored food?
fns_dishes_clean_open_water,How do you wash your dishes and cooking utensils? - With pond/ditch/river water
fns_dishes_clean_safe_water,How do you wash your dishes and cooking utensils? - With tube-well water only
fns_dishes_clean_soap_safe_water,How do you wash your dishes and cooking utensils? - With tube-well water and detergent/soaps
